course_title,subject_catalog,instructors,year_term,term_type,start_date,end_date,start_time,end_time,weekdays,class_number,course_id,consent,enrolled,waitlist,lecture_sunday,lecture_monday,lecture_tuesday,lecture_wednesday,lecture_thursday,lecture_friday,lecture_saturday,description,notes,school,units,cross_registration,department,course_component,instruction_mode,grading_basis,course_requirements,general_education,quantitative_reasoning,divisional_distribution
Thesis in Satisfaction of Degree Doctor of Design,ADV 9504 001,Martin Bechthold,2026 Spring,Full Term,,,,,,19275,200060,No Consent,,,False,False,False,False,False,False,False,Thesis in Satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Urban Planning & Design,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Independent Study by Candidates for Doctoral Degrees,ADV 9502,,2026 Spring,Full Term,,,,,,19633,200058,No Consent,,,False,False,False,False,False,False,False,"9502 must be taken for either 2 or 4 units. Under faculty guidance, the student conducts an independent reading program and formulates a thesis proposal. The course is intended for doctoral students. In addition to enrolling in the course, students must download and fill out the independent study petition, which can be found on my.Harvard. Enrollment will not be final until the petition is submitted.",,Graduate School of Design,,,Graduate School of Design,Thesis Research,In Person,GSD Graded,,,,
Thesis in Satisfaction of Degree Doctor of Design,ADV 9504 003,Gareth Doherty,2026 Spring,Full Term,,,,,,19277,200060,No Consent,,,False,False,False,False,False,False,False,Thesis in Satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Urban Planning & Design,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis in Satisfaction of Degree Doctor of Design,ADV 9504 004,Jonathan Grinham,2026 Spring,Full Term,,,,,,19278,200060,No Consent,,,False,False,False,False,False,False,False,Thesis in Satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Urban Planning & Design,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis in Satisfaction of Degree Doctor of Design,ADV 9504 006,Rachel Meltzer,2026 Spring,Full Term,,,,,,19280,200060,No Consent,,,False,False,False,False,False,False,False,Thesis in Satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Urban Planning & Design,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Medical Sports Medicine,AC  512M,Cynthia Stein,2026 Spring,Full Term,,,,,,18231,219543,Instructor,,,False,False,False,False,False,False,False,,,Harvard Medical School,,,Program in Medical Education,Discipline Specific,In Person,HMS Clinical Grading,Open only to HMS MD students,,,
Thesis in Satisfaction of Degree Doctor of Design,ADV 9504 005,Ali Malkawi,2026 Spring,Full Term,,,,,,19279,200060,No Consent,,,False,False,False,False,False,False,False,Thesis in Satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Urban Planning & Design,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Independent Thesis in Satisfaction of the Degree Master in Landscape Architecture,ADV 9342,Charles Waldheim,2026 Spring,Full Term,,,,,,19632,200057,No Consent,,,False,False,False,False,False,False,False,"Following preparation in GSD 9341, each student pursues a topic of relevance to landscape architecture, which must include academic inquiry and design exploration.",,Graduate School of Design,,,Landscape Architecture,Thesis Research,In Person,GSD Graded,,,,
Independent Design Engineering Project II,ADV 9382,"Mark Coughlin, Jock Herron",2026 Spring,Full Term,,,,,,19599,205542,No Consent,,,False,False,False,False,False,False,False,"The Independent Design Engineering Project (IDEP) is a two-semester project during which students in the Master in Design Engineering (MDE) program work on understanding a concise, real-world problem, and develop a prototypical solution. Methodologically a continuation of the MDE first-year studio, each student frames a complex problem and engages with stakeholders in order to understand its multi-scalar, multi-disciplinary aspects. Work on a solution involves a combination of analytical and visualization skills, technical skills, and design methods, culminating in the development, prototyping and evaluation of a solution.The two-semester long IDEP is the required second-year component of the MDE program. In the fall, students primarily focus on framing and understanding the problem by conducting  research,  engaging stakeholders and prototyping early solutions. During the spring, students work independently, meeting with their two advisors at mutually agreeable intervals, with the goal of developing a final prototype and evaluating its impact. Student presentations at the midterm and the final reviews are required. The IDEP directors will hold optional weekly office hours for which any second year MDE student or IDEP team can sign up.",,Graduate School of Design,,,Architecture,Thesis Research,In Person,GSD Graded,,,,
Independent Study by Candidates for Master's Degrees,ADV 9201,,2026 Spring,Full Term,,,,,,19608,200041,No Consent,,,False,False,False,False,False,False,False,"Students may take a maximum of 8 units with different GSD instructors in this course series. 9201 must be taken for either 2 or 4 units.Prerequisites: GSD student seeking a Master's degreeCandidates may arrange individual work focusing on subjects or issues that are of interest to them but are not available through regularly offered coursework. Students must submit an independent study petition, and accompanying documentation as noted on the petition, after securing approval of the faculty member sponsoring the study.The independent study petition can be found on the Documents tab in my.Harvard. Enrollment will not be final until the petition is submitted.",,Graduate School of Design,,,Graduate School of Design,Independent Study,In Person,GSD Graded,,,,
